wikipedia_movie_id,movie_box_office_revenue,budget,opening_weekend,rating_score,producer,release_year
851800,33461269.0,35000000.0,8064480.0,5.8,Roger Spottiswoode,1990
859101,,,,4.8,Charles Martin Smith,1992
865912,2743336.0,15500000.0,211130.0,6.3,Atom Egoyan,2002
871080,62174008.0,59660000.0,6144160.0,7.0,Jean-Jacques Annaud,2004
872342,,750000.0,,4.4,M. Night Shyamalan,1993
883437,8418797.0,2500000.0,105614.0,7.2,Danny Boyle,1995
890407,10555619.0,20000000.0,3520550.0,7.5,Woody Allen,1992
893561,7191399.0,47000000.0,3002680.0,6.4,Ridley Scott,1992
894309,,210000.0,,6.6,Eugène Lourié,1953
900584,18875011.0,,3768707.0,5.8,Carl Schultz,1988
903082,,600000.0,,6.4,John Landis,1978
905188,5844868.0,6000000.0,2134214.0,7.2,Robert Harmon,1986
915306,10297601.0,,56371.0,7.1,Savage Steve Holland,1985
915487,3721911.0,13000000.0,1206799.0,5.1,Allan Moyle,1992
917363,20123742.0,3000000.0,,7.6,Woody Allen,1975
919005,6317.0,886000.0,,7.5,George Stevens,1936
919546,78110021.0,80000000.0,18054001.0,5.1,Renny Harlin,2004
924767,174999005.0,19000000.0,13777943.0,6.3,Joseph Ruben,1991
924799,58662452.0,40000000.0,11083318.0,4.9,Randal Kleiser,1992
924857,7603766.0,17000000.0,2520972.0,6.4,Stephen Gyllenhaal,1995
930561,14393902.0,,3376971.0,6.4,Guy Hamilton,1985
931121,3966256.0,,982080.0,6.5,Peter Markle,1988
931869,1744164.0,19897678.0,69821.0,6.3,Terry Jones,1987
932297,76432727.0,95000000.0,12846652.0,6.9,Bibo Bergeron,2000
934524,81407286.0,12800000.0,260135.0,8.0,Kang Je-kyu,2004
935950,4263112.0,,2031181.0,3.5,Joel Silberg,1990
936234,,1700000.0,,7.6,Michael Curtiz,1940
936787,38702310.0,8500000.0,3152469.0,6.3,Edward Zwick,1986
937658,30063289.0,,7900879.0,5.1,Joe Roth,1987
937809,941414.0,,14425.0,6.7,James Mangold,1996
950274,15249308.0,3000000.0,5706332.0,5.9,Tuck Tucker,2002
954902,16262415.0,4000000.0,46711.0,6.9,Joan Micklin Silver,1988
957942,41292551.0,23000000.0,6350974.0,6.0,Robert Towne,1988
958920,11047627.0,32000000.0,3046181.0,5.9,Jeremiah S. Chechik,1995
961437,152022101.0,50000000.0,24642539.0,5.3,Frank Marshall,1995
961777,35419397.0,20000000.0,3514678.0,6.7,Richard Benjamin,1990
965992,15122324.0,,4625004.0,5.1,Randal Kleiser,1988
966552,,800000.0,,6.2,Tom Laughlin,1971
967721,35659098.0,,6012274.0,6.6,Carl Reiner,1987
970846,,9000000.0,,7.2,John Frankenheimer,1966
975913,20308772.0,20000000.0,9106497.0,6.1,John Carpenter,1998
980601,515900.0,100000.0,28424.0,7.2,Richard Linklater,2002
980977,110996879.0,12000000.0,7766452.0,6.5,Herbert Ross,1987
983731,22667193.0,,,4.7,Marcus Adams,2002
985304,8279042.0,2500000.0,,5.5,Wes Craven,1981
