wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,movie_box_office_revenue_x,movie_runtime,movie_languages,movie_countries,movie_genres
4270540,/m/0btbyn,3:10 to Yuma,2007.0,70016220.0,122.0,"['Chinese language', 'English Language']",['United States of America'],"['Crime Fiction', 'Thriller', 'Action/Adventure', 'Western', 'Drama', 'Suspense', 'Action']"
3060756,/m/08nvyr,Babel,2006.0,135330182.0,143.0,"['French Language', 'Japanese Language', 'Arabic Language', 'English Language', 'Spanish Language']","['United States of America', 'Mexico', 'France']","['Drama', 'Indie', 'Political drama']"
1249349,/m/04m1bm,Nuovo Cinema Paradiso,1988.0,11990401.0,124.0,"['Italian Language', 'English Language', 'Portuguese Language']","['France', 'Italy']",['Drama']
2910322,/m/08bzc3,Perfect Stranger,2007.0,73090611.0,108.0,['English Language'],['United States of America'],"['Thriller', 'Psychological thriller', 'Mystery', 'Drama', 'Suspense', 'Crime Thriller']"
919013,/m/03pw3q,Two for the Road,1967.0,12000000.0,112.0,"['French Language', 'English Language']",['United Kingdom'],"['Romantic comedy', 'Road movie', 'Existentialism', 'Comedy-drama', 'Marriage Drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']"
3075802,/m/08pqpg,Date Movie,2006.0,84795656.0,84.5,['English Language'],"['Switzerland', 'United States of America']","['Romantic comedy', 'Parody', 'Romance Film', 'Comedy']"
9366011,/m/02862zk,Harriet the Spy,1996.0,26570048.0,102.0,['English Language'],['United States of America'],"['Adventure', 'Comedy-drama', 'Drama', 'Comedy', 'Family Film', 'Spy']"
249956,/m/01l2qq,Rabbit-Proof Fence,2002.0,6165429.0,94.0,"['Australian Aboriginal Pidgin English', 'English Language']","['Australia', 'New Zealand']","['Adventure', 'World cinema', 'History', 'Action/Adventure', 'Period piece', 'Drama', 'Film adaptation']"
342741,/m/01y9r2,Road to Perdition,2002.0,181001478.0,117.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Gangster Film', 'Crime Drama', 'Family Drama', 'Action/Adventure', 'Period piece', 'Drama', 'Film adaptation', 'Coming of age']"
4038581,/m/0bdxf1,No Mercy,1986.0,12303904.0,108.0,['English Language'],['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Action', 'Thriller']"
2377503,/m/077n53,Waiting...,2005.0,18637690.0,92.0,['English Language'],['United States of America'],"['Ensemble Film', 'Comedy', 'Coming of age', 'Indie', 'Workplace Comedy']"
1787420,/m/05wxxw,Tupac: Resurrection,2003.0,7808524.0,112.0,['English Language'],['United States of America'],"['Biography', 'Film', 'Hip hop movies', 'Rockumentary', 'Music', 'Social issues', 'Documentary']"
20523067,/m/051z47t,Mystery Team,2009.0,89442.0,105.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Detective fiction', 'Indie', 'Detective', 'Mystery', 'Comedy']"
6490523,/m/0g7bnt,A Force of One,1979.0,20200000.0,91.0,['English Language'],['United States of America'],"['Crime Fiction', 'Thriller', 'Indie', 'Action/Adventure', 'Martial Arts Film', 'Drama', 'Action Thrillers', 'Action']"
12509366,/m/02w9mtf,The Couch Trip,1988.0,11005304.0,96.0,['English Language'],['United States of America'],"['Black comedy', 'Comedy of Errors', 'Screwball comedy', 'Comedy', 'Indie']"
5698271,/m/0d_r6j,Spring Forward,2000.0,102353.0,112.0,['English Language'],['United States of America'],"['Drama', 'Buddy film', 'Indie']"
3231682,/m/0900j5,The Texas Chainsaw Massacre,2003.0,107071655.0,97.0,['English Language'],['United States of America'],"['Thriller', 'Horror', 'Road-Horror', 'Remake', 'Cult', 'Mystery', 'Slasher', 'Teen']"
20570407,/m/05229c_,MegaMind,2010.0,321885765.0,95.0,['English Language'],['United States of America'],"['Science Fiction', 'Superhero movie', 'Animation', 'Action/Adventure', 'Comedy', 'Family Film', 'Action']"
3255424,/m/091kzp,Duchess of Idaho,1950.0,2600000.0,98.0,['English Language'],['United States of America'],['Musical']
37599,/m/09cr8,Traffic,2001.0,207515725.0,143.0,"['English Language', 'Spanish Language']",['United States of America'],"['Thriller', 'Crime Fiction', 'Gangster Film', 'Drama', 'Crime Thriller', 'Political drama']"
4576677,/m/0c9pvq,Paid in Full,2002.0,3090862.0,97.0,['English Language'],['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Period piece', 'Drama', 'Crime Thriller', 'Action']"
17736304,/m/047g8sl,The Longshots,2008.0,11767866.0,95.0,['English Language'],['United States of America'],"['Sports', 'Coming of age', 'Comedy-drama', 'Drama']"
4678118,/m/0cgx8c,The Toast of New York,1937.0,1048000.0,109.0,['English Language'],['United States of America'],"['Biographical film', 'Drama', 'Black-and-white', 'Biopic [feature]']"
11564856,/m/02rjb3_,Jake Speed,1986.0,1943751.0,104.0,['English Language'],['United States of America'],"['Thriller', 'Adventure', 'Action/Adventure', 'Adventure Comedy', 'Comedy', 'Action']"
11244593,/m/02r4y3t,Alvin and the Chipmunks,2007.0,361336633.0,91.0,"['French Language', 'Japanese Language', 'English Language', 'Spanish Language']",['United States of America'],"[""Children's/Family"", 'Computer Animation', 'Musical', ""Children's"", 'Drama', 'Comedy', 'Music', 'Family Film']"
2503050,/m/07jd8j,Bush Christmas,1983.0,122035.0,91.0,['English Language'],['Australia'],['Drama']
1582683,/m/05d6xx,The Wrong Man,1956.0,2000000.0,105.0,"['Italian Language', 'English Language', 'Spanish Language']",['United States of America'],"['Crime Fiction', 'Drama', 'Film noir']"
18788912,/m/04gh5zm,Whatever Works,2009.0,35085646.0,92.0,['English Language'],"['United States of America', 'France']","['Romantic comedy', 'Romance Film', 'Comedy of manners', 'Indie', 'Comedy']"
61664,/m/0gpx6,All About My Mother,1999.0,67872296.0,105.0,"['Catalan language', 'English Language', 'Spanish Language']","['France', 'Spain']","['LGBT', 'Ensemble Film', 'World cinema', 'Comedy-drama', 'Drama', 'Comedy', 'Feminist Film']"
9054868,/m/027v_s6,Tennessee,2008.0,16100.0,99.0,['English Language'],['United States of America'],"['Road movie', 'Family Drama', 'Drama', 'Indie']"
1599509,/m/05fm3g,Ice Princess,2005.0,24381334.0,98.0,['English Language'],"['United States of America', 'Canada']","['Sports', 'Family Film', 'Drama', 'Comedy']"
1276889,/m/04pg2_,Room Service,1938.0,875000.0,78.0,"['Russian Language', 'English Language']",['United States of America'],"['Comedy', 'Black-and-white']"
2180825,/m/06sx_c,The Glass Slipper,1955.0,1400000.0,93.0,['English Language'],['United States of America'],"['Costume drama', 'Musical', 'Romance Film']"
6557406,/m/0gbfn9,Fast Food Nation,2006.0,2209322.0,112.0,"['English Language', 'Spanish Language']","['United States of America', 'United Kingdom']","['Drama', 'Ensemble Film', 'Americana', 'Comedy-drama', 'Film adaptation']"
